iso3,year,average_pm25,ncd_mortality_pr100000
AUS,2010,12.21,315.7202
AUS,2011,11.04,315.593
AUS,2012,11.83,304.3702
AUS,2013,7.84,298.7648
AUS,2014,7.37,300.5121
AUS,2015,7.04,302.1936
AUS,2016,6.81,293.0742
AUS,2017,7.28,287.2562
AUS,2018,8.06,278.8636
AUS,2019,7.47,278.5359
BGD,2010,92.65,558.7168
BGD,2011,101.48,506.2303
BGD,2012,100.98,468.0243
BGD,2013,76.25,459.4327
BGD,2014,81.04,463.2876
BGD,2015,78.14,454.5895
BGD,2016,68.84,454.4205
BGD,2017,54.59,471.4548
BGD,2018,71.93,473.1018
BGD,2019,86.48,473.6921
COL,2010,32.33,362.6839
COL,2011,24.0,343.6958
COL,2012,24.7,339.8121
COL,2013,22.92,336.5121
COL,2014,22.8,342.4632
COL,2015,25.18,346.5577
COL,2016,19.31,337.0512
COL,2017,18.27,333.5849
COL,2018,17.51,328.5183
COL,2019,17.9,326.0131
ECU,2010,19.27,447.0049
ECU,2011,17.36,437.2645
ECU,2012,18.49,435.6141
ECU,2013,13.86,417.8376
ECU,2014,6.1,398.8374
ECU,2015,7.6,395.9943
ECU,2016,10.3,393.7679
ECU,2017,10.8,389.3566
ECU,2018,9.9,374.861
ECU,2019,10.5,364.6559
ESP,2010,9.87,331.769
ESP,2011,12.79,327.7519
ESP,2012,12.6,323.8132
ESP,2013,8.66,307.1517
ESP,2014,10.56,302.5145
ESP,2015,11.24,311.242
ESP,2016,9.55,296.013
ESP,2017,10.67,298.8669
ESP,2018,10.04,287.3876
ESP,2019,9.61,282.0769
IND,2010,98.9,584.8598
IND,2011,152.56,582.5635
IND,2012,82.6,580.1339
IND,2013,131.22,588.5986
IND,2014,98.83,583.2563
IND,2015,78.97,575.5431
IND,2016,86.7,565.9017
IND,2017,106.17,559.6881
IND,2018,76.27,563.1912
IND,2019,64.73,558.4635
MNG,2010,46.02,1101.308
MNG,2011,131.5,1073.726
MNG,2012,106.0,1034.115
MNG,2013,78.03,994.4349
MNG,2014,64.1,949.5185
MNG,2015,66.0,930.5413
MNG,2016,79.0,941.5158
MNG,2017,86.0,935.6192
MNG,2018,74.0,929.9976
MNG,2019,60.0,939.1735
PER,2010,30.57,356.996
PER,2011,31.43,350.7505
PER,2012,41.14,344.2809
PER,2013,38.04,337.4688
PER,2014,31.17,325.0186
PER,2015,27.7,314.6056
PER,2016,27.82,309.4818
PER,2017,24.05,308.5269
PER,2018,25.73,305.4615
PER,2019,24.68,302.7007
SGP,2010,17.0,284.3339
SGP,2011,17.0,278.2809
SGP,2012,19.0,269.6838
SGP,2013,20.0,261.7495
SGP,2014,17.98,254.295
SGP,2015,24.38,247.6645
SGP,2016,14.87,240.5533
SGP,2017,13.92,238.9244
SGP,2018,15.01,233.2794
SGP,2019,16.31,234.8398
USA,2010,9.68,409.7563
USA,2011,9.56,406.7545
USA,2012,8.91,403.2602
USA,2013,8.71,403.3087
USA,2014,8.51,401.5546
USA,2015,8.2,406.6224
USA,2016,7.42,404.1515
USA,2017,7.79,405.1816
USA,2018,7.94,406.9146
USA,2019,7.36,407.882
ZAF,2010,34.7,782.7194
ZAF,2011,45.48,753.1015
ZAF,2012,35.17,731.3497
ZAF,2013,25.19,717.675
ZAF,2014,25.52,719.4066
ZAF,2015,19.36,721.9691
ZAF,2016,22.85,714.1045
ZAF,2017,15.89,700.6222
ZAF,2018,22.5,647.3963
ZAF,2019,21.54,618.3997
