Country,ISO3,PM2.5 (µg/m³)
India,IND,75.76
Pakistan,PAK,55.80
Nepal,NPL,47.13
Bangladesh,BGD,44.17
Democratic Republic of the Congo,COD,34.20
Rwanda,RWA,32.95
Burundi,BDI,31.76
China,CHN,31.63
Mongolia,MNG,31.47
Cameroon,CMR,31.42
Qatar,QAT,29.19
Bhutan,BTN,28.71
Equatorial Guinea,GNQ,28.61
Guatemala,GTM,28.45
Laos,LAO,28.00
Bolivia,BOL,27.92
Honduras,HND,27.25
Central African Republic,CAF,26.91
Uganda,UGA,26.91
El Salvador,SLV,25.60
Vietnam,VNM,24.37
Peru,PER,23.88
Gabon,GAB,23.82
Thailand,THA,23.82
Bosnia and Herzegovina,BIH,23.78
Nigeria,NGA,23.67
Iraq,IRQ,23.66
Saudi Arabia,SAU,22.97
Lesotho,LSO,22.94
Turkey,TUR,21.58
Cambodia,KHM,20.81
North Korea,PRK,20.64
North Macedonia,MKD,20.34
South Africa,ZAF,20.33
South Korea,KOR,20.27
Syria,SYR,19.61
Serbia,SRB,19.37
Armenia,ARM,19.12
Tajikistan,TJK,18.63
Sri Lanka,LKA,18.60
Bulgaria,BGR,17.99
Egypt,EGY,17.90
Bahrain,BHR,17.79
Jordan,JOR,17.71
Zambia,ZMB,17.68
Kenya,KEN,17.66
Angola,AGO,17.37
Kuwait,KWT,17.34
Iran,IRN,17.17
Indonesia,IDN,16.99
Benin,BEN,16.83
Ethiopia,ETH,16.71
Djibouti,DJI,16.65
Tanzania,TZA,16.61
Lebanon,LBN,16.38
Philippines,PHL,16.36
Paraguay,PRY,16.33
Afghanistan,AFG,16.23
Mexico,MEX,16.16
Montenegro,MNE,15.93
Ecuador,ECU,15.75
United Arab Emirates,ARE,15.44
Togo,TGO,15.00
South Sudan,SSD,14.98
Poland,POL,14.97
Colombia,COL,14.96
Kyrgyzstan,KGZ,14.92
Malawi,MWI,14.80
Republic of China,TWN,14.53
Georgia,GEO,14.29
Chile,CHL,14.24
Kazakhstan,KAZ,14.14
Romania,ROU,13.80
Croatia,HRV,13.75
Ukraine,UKR,13.74
Nicaragua,NIC,13.32
Ghana,GHA,13.10
Slovakia,SVK,12.88
Eswatini,SWZ,12.83
Hungary,HUN,12.81
Slovenia,SVN,12.80
Moldova,MDA,12.76
Italy,ITA,12.69
Albania,ALB,12.68
Malaysia,MYS,12.65
Israel,ISR,12.43
Palestine,PSE,12.39
Cyprus,CYP,12.33
Jamaica,JAM,12.08
Maldives,MDV,12.00
Czech Republic,CZE,11.87
Belize,BLZ,11.78
Sierra Leone,SLE,11.73
Eritrea,ERI,11.68
Zimbabwe,ZWE,11.68
Azerbaijan,AZE,11.66
Argentina,ARG,11.57
Venezuela,VEN,11.45
Chad,TCD,11.44
Botswana,BWA,11.35
Greece,GRC,11.18
Latvia,LVA,11.16
Oman,OMN,11.11
Belarus,BLR,11.07
Costa Rica,CRI,11.06
Singapore,SGP,11.06
Papua New Guinea,PNG,10.80
San Marino,SMR,10.70
Liberia,LBR,10.67
Guinea,GIN,10.63
Namibia,NAM,10.59
Ivory Coast,CIV,10.42
Japan,JPN,10.28
Mozambique,MOZ,10.28
Lithuania,LTU,10.06
Niger,NER,10.04
Russia,RUS,9.98
Brazil,BRA,9.95
Turkmenistan,TKM,9.89
Sudan,SDN,9.70
Austria,AUT,9.65
Monaco,MCO,9.50
Haiti,HTI,8.72
Gibraltar,GIB,8.70
Liechtenstein,LIE,8.55
Tunisia,TUN,8.42
Guinea-Bissau,GNB,8.23
Timor-Leste,TLS,8.04
Germany,DEU,8.02
Belgium,BEL,7.91
Switzerland,CHE,7.84
Netherlands,NLD,7.82
Panama,PAN,7.77
Uruguay,URY,7.76
Burkina Faso,BFA,7.62
Morocco,MAR,7.43
United Kingdom,GBR,7.24
France,FRA,7.20
Luxembourg,LUX,7.19
United States,USA,7.05
Madagascar,MDG,7.05
Somalia,SOM,6.96
Denmark,DNK,6.94
Gambia,GMB,6.78
Spain,ESP,6.69
Libya,LBY,6.67
Dominican Republic,DOM,6.66
Malta,MLT,6.50
Andorra,AND,6.39
Cuba,CUB,6.07
Canada,CAN,5.61
Guyana,GUY,5.55
Brunei,BRN,5.54
Mali,MLI,5.51
Algeria,DZA,5.47
Solomon Islands,SLB,5.47
Comoros,COM,5.45
Senegal,SEN,5.30
Estonia,EST,5.16
Portugal,PRT,5.02
Suriname,SUR,4.90
Australia,AUS,4.66
Ireland,IRL,4.56
Sweden,SWE,4.56
Finland,FIN,4.10
Norway,NOR,3.79
Mauritius,MUS,3.61
Trinidad and Tobago,TTO,3.43
Mauritania,MRT,3.20
Vanuatu,VUT,3.07
Seychelles,SYC,3.06
Bahamas,BHS,2.85
New Zealand,NZL,2.67
Puerto Rico,PRI,2.25
Iceland,ISL,2.11
Dominica,DMA,2.04
Grenada,GRD,1.92
Saint Vincent and the Grenadines,VCT,1.91
Barbados,BRB,1.86
Saint Lucia,LCA,1.78
Palau,PLW,1.77
Cape Verde,CPV,1.76
Antigua and Barbuda,ATG,1.75
Fiji,FJI,1.52
Tuvalu,TUV,1.26
Tonga,TON,1.03
Nauru,NRU,1.00
Greenland,GRL,0.90
Samoa,WSM,0.84
Kiribati,KIR,0.81
Federated States of Micronesia,FSM,0.60
Marshall Islands,MHL,0.56
