iso3,year,average_pm25
AUS,2010,12.21
AUS,2011,11.04
AUS,2012,11.83
AUS,2013,7.84
AUS,2014,7.37
AUS,2015,7.04
AUS,2016,6.81
AUS,2017,7.28
AUS,2018,8.06
AUS,2019,7.47
BGD,2010,92.65
BGD,2011,101.48
BGD,2012,100.98
BGD,2013,76.25
BGD,2014,81.04
BGD,2015,78.14
BGD,2016,68.84
BGD,2017,54.59
BGD,2018,71.93
BGD,2019,86.48
COL,2010,32.33
COL,2011,24.0
COL,2012,24.7
COL,2013,22.92
COL,2014,22.8
COL,2015,25.18
COL,2016,19.31
COL,2017,18.27
COL,2018,17.51
COL,2019,17.9
ECU,2010,19.27
ECU,2011,17.36
ECU,2012,18.49
ECU,2013,13.86
ECU,2014,6.1
ECU,2015,7.6
ECU,2016,10.3
ECU,2017,10.8
ECU,2018,9.9
ECU,2019,10.5
ESP,2010,9.87
ESP,2011,12.79
ESP,2012,12.6
ESP,2013,8.66
ESP,2014,10.56
ESP,2015,11.24
ESP,2016,9.55
ESP,2017,10.67
ESP,2018,10.04
ESP,2019,9.61
IND,2010,98.9
IND,2011,152.56
IND,2012,82.6
IND,2013,131.22
IND,2014,98.83
IND,2015,78.97
IND,2016,86.7
IND,2017,106.17
IND,2018,76.27
IND,2019,64.73
MNG,2010,46.02
MNG,2011,131.5
MNG,2012,106.0
MNG,2013,78.03
MNG,2014,64.1
MNG,2015,66.0
MNG,2016,79.0
MNG,2017,86.0
MNG,2018,74.0
MNG,2019,60.0
PER,2010,30.57
PER,2011,31.43
PER,2012,41.14
PER,2013,38.04
PER,2014,31.17
PER,2015,27.7
PER,2016,27.82
PER,2017,24.05
PER,2018,25.73
PER,2019,24.68
SGP,2010,17.0
SGP,2011,17.0
SGP,2012,19.0
SGP,2013,20.0
SGP,2014,17.98
SGP,2015,24.38
SGP,2016,14.87
SGP,2017,13.92
SGP,2018,15.01
SGP,2019,16.31
USA,2010,9.68
USA,2011,9.56
USA,2012,8.91
USA,2013,8.71
USA,2014,8.51
USA,2015,8.2
USA,2016,7.42
USA,2017,7.79
USA,2018,7.94
USA,2019,7.36
ZAF,2010,34.7
ZAF,2011,45.48
ZAF,2012,35.17
ZAF,2013,25.19
ZAF,2014,25.52
ZAF,2015,19.36
ZAF,2016,22.85
ZAF,2017,15.89
ZAF,2018,22.5
ZAF,2019,21.54
