City,Year,PM2.5 Value
Beijing,2010,.
Bogota,2010,.
Delhi,2010,.
London,2010,14.39
Los Angeles,2010,.
Sao Paulo,2010,17.33
Singapore,2010,17.0
Beijing,2011,99.09
Bogota,2011,.
Delhi,2011,.
London,2011,.
Los Angeles,2011,.
Sao Paulo,2011,20.25
Singapore,2011,17.0
Beijing,2012,90.52
Bogota,2012,.
Delhi,2012,.
London,2012,.
Los Angeles,2012,.
Sao Paulo,2012,17.5
Singapore,2012,19.0
Beijing,2013,101.56
Bogota,2013,.
Delhi,2013,.
London,2013,9.0
Los Angeles,2013,24.24
Sao Paulo,2013,16.0
Singapore,2013,20.0
Beijing,2014,86.05
Bogota,2014,.
Delhi,2014,.
London,2014,14.38
Los Angeles,2014,27.1
Sao Paulo,2014,19.14
Singapore,2014,18.0
Beijing,2015,80.07
Bogota,2015,.
Delhi,2015,.
London,2015,8.3
Los Angeles,2015,30.26
Sao Paulo,2015,18.4
Singapore,2015,24.0
Beijing,2016,71.96
Bogota,2016,15.41
Delhi,2016,115.43
London,2016,7.0
Los Angeles,2016,32.53
Sao Paulo,2016,16.6
Singapore,2016,15.0
Beijing,2017,58.83
Bogota,2017,15.21
Delhi,2017,101.33
London,2017,7.0
Los Angeles,2017,.
Sao Paulo,2017,.
Singapore,2017,14.0
Beijing,2018,50.59
Bogota,2018,13.61
Delhi,2018,121.0
London,2018,7.0
Los Angeles,2018,.
Sao Paulo,2018,17.26
Singapore,2018,15.0
Beijing,2019,.
Bogota,2019,12.69
Delhi,2019,105.0
London,2019,7.0
Los Angeles,2019,22.5
Sao Paulo,2019,16.67
Singapore,2019,16.0
Beijing,2020,.
Bogota,2020,.
Delhi,2020,.
London,2020,.
Los Angeles,2020,.
Sao Paulo,2020,.
Singapore,2020,11.0
